10:55:24.780 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - rutaFichero: ./ficheros/fichero_carga_ejercicio2.txt skipLines: 1
10:55:24.789 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Leyendo documento
10:55:24.828 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Fecha alta Tue Oct 10 00:00:00 CEST 2023
10:55:24.830 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Producto alta ProductoOracle [id=0, nombre=PRODUCTO1, tipo=TIPO1, fechaAlta=Tue Oct 10 00:00:00 CEST 2023, precio=5000, unidades=3]
10:55:24.835 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Fecha alta Wed Oct 11 00:00:00 CEST 2023
10:55:24.836 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Producto alta ProductoOracle [id=0, nombre=PRODUCTO2, tipo=TIPO2, fechaAlta=Wed Oct 11 00:00:00 CEST 2023, precio=1000, unidades=6]
10:55:24.838 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Fecha alta Thu Oct 12 00:00:00 CEST 2023
10:55:24.838 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Producto alta ProductoOracle [id=0, nombre=PRODUCTO3, tipo=TIPO3, fechaAlta=Thu Oct 12 00:00:00 CEST 2023, precio=3000, unidades=7]
10:55:24.840 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Fecha alta Fri Oct 13 00:00:00 CEST 2023
10:55:24.845 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Producto alta ProductoOracle [id=0, nombre=PRODUCTO4, tipo=TIPO1, fechaAlta=Fri Oct 13 00:00:00 CEST 2023, precio=5000, unidades=9]
10:55:24.846 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Fecha alta Sat Oct 14 00:00:00 CEST 2023
10:55:24.847 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Producto alta ProductoOracle [id=0, nombre=PRODUCTO5, tipo=TIPO3, fechaAlta=Sat Oct 14 00:00:00 CEST 2023, precio=7000, unidades=8]
10:55:24.848 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Fecha alta Sun Oct 15 00:00:00 CEST 2023
10:55:24.849 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Producto alta ProductoOracle [id=0, nombre=PRODUCTO6, tipo=TIPO2, fechaAlta=Sun Oct 15 00:00:00 CEST 2023, precio=200, unidades=13]
10:55:24.850 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Fecha alta Mon Oct 16 00:00:00 CEST 2023
10:55:24.850 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Producto alta ProductoOracle [id=0, nombre=PRODUCTO7, tipo=TIPO1, fechaAlta=Mon Oct 16 00:00:00 CEST 2023, precio=25000, unidades=1]
10:55:24.851 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Fecha alta Tue Oct 17 00:00:00 CEST 2023
10:55:24.851 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Producto alta ProductoOracle [id=0, nombre=PRODUCTO8, tipo=TIPO3, fechaAlta=Tue Oct 17 00:00:00 CEST 2023, precio=15000, unidades=2]
10:55:25.409 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos mostrarProductos - Empieza
10:55:25.410 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos mostrarProductos - ProductoOracle [id=1, nombre=PRODUCTO1, tipo=TIPO1, fechaAlta=Tue Oct 10 00:00:00 CEST 2023, precio=5000, unidades=3]
10:55:25.411 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos mostrarProductos - ProductoOracle [id=2, nombre=PRODUCTO2, tipo=TIPO2, fechaAlta=Wed Oct 11 00:00:00 CEST 2023, precio=1000, unidades=6]
10:55:25.411 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos mostrarProductos - ProductoOracle [id=3, nombre=PRODUCTO3, tipo=TIPO3, fechaAlta=Thu Oct 12 00:00:00 CEST 2023, precio=3000, unidades=7]
10:55:25.412 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos mostrarProductos - ProductoOracle [id=4, nombre=PRODUCTO4, tipo=TIPO1, fechaAlta=Fri Oct 13 00:00:00 CEST 2023, precio=5000, unidades=9]
10:55:25.413 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos mostrarProductos - ProductoOracle [id=5, nombre=PRODUCTO5, tipo=TIPO3, fechaAlta=Sat Oct 14 00:00:00 CEST 2023, precio=7000, unidades=8]
10:55:25.414 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos mostrarProductos - ProductoOracle [id=6, nombre=PRODUCTO6, tipo=TIPO2, fechaAlta=Sun Oct 15 00:00:00 CEST 2023, precio=200, unidades=13]
10:55:25.414 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos mostrarProductos - ProductoOracle [id=7, nombre=PRODUCTO7, tipo=TIPO1, fechaAlta=Mon Oct 16 00:00:00 CEST 2023, precio=25000, unidades=1]
10:55:25.415 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos mostrarProductos - ProductoOracle [id=8, nombre=PRODUCTO8, tipo=TIPO3, fechaAlta=Tue Oct 17 00:00:00 CEST 2023, precio=15000, unidades=2]
10:55:25.415 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos mostrarProductos - Termina
10:55:34.083 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos mostrarFecha - fecha: Fri Oct 13 00:00:00 CEST 2023
10:55:34.125 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos mostrarFecha - Empieza
10:55:34.126 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos mostrarFecha - ProductoOracle [id=4, nombre=PRODUCTO4, tipo=TIPO1, fechaAlta=Fri Oct 13 00:00:00 CEST 2023, precio=5000, unidades=9]
10:55:34.127 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos mostrarFecha - Termina
10:55:34.130 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos mostrarOperaciones - Entrando a mostrar las operaciones
