10:46:19.835 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - rutaFichero: ./ficheros/fichero_carga_ejercicio2.txt skipLines: 1
10:46:19.846 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Leyendo documento
10:46:19.896 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Fecha alta Tue Oct 10 00:00:00 CEST 2023
10:46:19.898 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Producto alta ProductoOracle [id=0, nombre=PRODUCTO1, tipo=TIPO1, fechaAlta=Tue Oct 10 00:00:00 CEST 2023, precio=5000, unidades=3]
10:46:19.903 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Fecha alta Wed Oct 11 00:00:00 CEST 2023
10:46:19.903 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Producto alta ProductoOracle [id=0, nombre=PRODUCTO2, tipo=TIPO2, fechaAlta=Wed Oct 11 00:00:00 CEST 2023, precio=1000, unidades=6]
10:46:19.905 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Fecha alta Thu Oct 12 00:00:00 CEST 2023
10:46:19.907 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Producto alta ProductoOracle [id=0, nombre=PRODUCTO3, tipo=TIPO3, fechaAlta=Thu Oct 12 00:00:00 CEST 2023, precio=3000, unidades=7]
10:46:19.909 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Fecha alta Fri Oct 13 00:00:00 CEST 2023
10:46:19.913 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Producto alta ProductoOracle [id=0, nombre=PRODUCTO4, tipo=TIPO1, fechaAlta=Fri Oct 13 00:00:00 CEST 2023, precio=5000, unidades=9]
10:46:19.917 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Fecha alta Sat Oct 14 00:00:00 CEST 2023
10:46:19.918 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Producto alta ProductoOracle [id=0, nombre=PRODUCTO5, tipo=TIPO3, fechaAlta=Sat Oct 14 00:00:00 CEST 2023, precio=7000, unidades=8]
10:46:19.929 [main] INFO  es.curso.java.hql.producto.main.DirectorioProductos leerFicheroProductos - Fecha alta Sun Oct 15 00:00:00 CEST 2023
